C_i,P_i,C_i-P_i
22,26,4
12,13,1
1,1,0
1,1,0
2,2,0
6,7,1
5,7,2
18,19,1
3,3,0
9,12,3
15,15,0
26,30,4
31,36,5
0,0,0
40,43,3
2,3,1
0,1,1
0,0,0
11,12,1
6,7,1
8,9,1
14,15,1
1,2,1
36,39,3
4,4,0
26,30,4
31,36,5
22,26,4
1,1,0
18,20,2
1,1,0
2,3,1
0,0,0
10,12,2
7,7,0
43,43,0
5,7,2
3,4,1
34,36,2
13,15,2
16,19,3
20,22,2
1,1,0
24,30,6
11,15,4
19,22,3
0,0,0
0,1,1
1,1,0
15,20,5
8,12,4
27,31,4
4,7,3
33,36,3
23,26,3
6,7,1
42,43,1
35,39,4
2,4,2
1,2,1
2,3,1
12,13,1
0,0,0
0,0,0
1,1,0
16,19,3
9,9,0
20,22,2
1,1,0
43,43,0
24,26,2
28,30,2
33,36,3
6,7,1
4,4,0
39,39,0
17,19,2
13,15,2
1,1,0
3,3,0
4,4,0
0,0,0
0,0,0
35,36,1
0,0,0
9,12,3
30,31,1
21,22,1
25,26,1
1,1,0
7,7,0
0,0,0
1,1,0
10,12,2
2,2,0
3,4,1
0,0,0
0,0,0
14,15,1
5,7,2
7,7,0
31,36,5
22,26,4
18,19,1
42,43,1
43,39,-4
27,30,3
42,43,1
14,18,4
18,22,4
1,2,1
3,4,1
23,26,3
37,43,6
0,0,0
10,13,3
0,0,0
0,0,0
0,0,0
32,36,4
1,1,0
5,7,2
7,7,0
27,30,3
6,7,1
9,11,2
13,15,2
1,1,0
30,33,3
40,43,3
2,3,1
0,1,1
21,22,1
26,30,4
0,0,0
0,0,0
17,19,2
0,0,0
4,4,0
35,36,1
2,3,1
34,39,5
9,7,-2
13,13,0
17,19,2
22,22,0
1,1,0
4,4,0
26,26,0
25,30,5
0,0,0
42,49,7
0,1,1
36,36,0
31,33,2
6,7,1
19,27,8
0,0,0
12,15,3
18,22,4
9,12,3
2,5,3
4,8,4
41,43,2
0,0,0
7,12,5
3,4,1
30,39,9
21,22,1
16,18,2
12,13,1
1,1,0
2,3,1
6,7,1
0,0,0
26,30,4
26,26,0
36,36,0
9,7,-2
0,0,0
0,0,0
31,33,2
34,39,5
42,49,7
12,15,3
15,19,4
18,22,4
8,12,4
10,12,2
4,7,3
41,43,2
0,0,0
2,5,3
32,39,7
41,49,8
18,27,9
0,1,1
11,15,4
15,14,-1
19,20,1
4,4,0
1,1,0
7,7,0
0,0,0
0,0,0
0,0,0
0,0,0
10,11,1
35,36,1
2,3,1
29,30,1
7,9,2
17,22,5
39,39,0
24,26,2
14,18,4
4,7,3
2,4,2
9,12,3
24,27,3
42,49,7
26,31,5
34,39,5
17,20,3
18,22,4
8,11,3
13,16,3
5,7,2
8,8,0
0,0,0
0,0,0
12,11,-1
1,1,0
1,2,1
0,0,0
0,0,0
9,15,6
26,26,0
6,9,3
3,4,1
21,22,1
5,8,3
0,0,0
41,43,2
16,18,2
30,33,3
2,5,3
35,36,1
46,49,3
29,31,2
37,39,2
17,22,5
31,37,6
21,25,4
9,11,2
12,13,1
15,15,0
5,7,2
7,9,2
3,4,1
31,30,-1
20,22,2
49,49,0
3,4,1
40,39,-1
23,22,-1
14,13,-1
1,2,1
11,13,2
6,7,1
16,15,-1
8,9,1
32,34,2
28,27,-1
45,43,-2
36,37,1
14,15,1
21,22,1
24,25,1
17,18,1
4,5,1
7,8,1
5,6,1
12,13,1
3,4,1
1,2,1
9,10,1
35,34,-1
8,10,2
23,23,0
19,18,-1
16,18,2
39,37,-2
10,12,2
31,30,-1
42,40,-2
26,25,-1
3,5,2
13,13,0
1,3,2
6,8,2
2,3,1
1,2,1
4,6,2
4,5,1
19,18,-1
6,6,0
2,3,1
1,3,2
39,37,-2
26,25,-1
13,13,0
34,34,0
43,42,-1
30,30,0
23,23,0
8,8,0
10,10,0
3,4,1
16,15,-1
48,43,-5
9,10,1
11,13,2
33,31,-2
36,37,1
17,18,1
25,23,-2
28,27,-1
41,40,-1
21,23,2
14,15,1
3,5,2
7,8,1
1,2,1
1,3,2
2,3,1
5,6,1
16,17,1
38,43,5
27,25,-2
31,30,-1
40,39,-1
20,18,-2
23,23,0
8,8,0
10,10,0
13,13,0
4,5,1
6,6,0
1,2,1
3,3,0
2,3,1
3,4,1
6,7,1
36,37,1
44,43,-1
19,18,-1
23,23,0
27,27,0
31,30,-1
40,39,-1
1,2,1
10,11,1
8,10,2
2,3,1
16,17,1
1,1,0
13,13,0
4,5,1
14,15,1
2,3,1
21,23,2
32,32,0
5,6,1
6,8,2
9,10,1
11,13,2
29,30,1
1,1,0
1,3,2
3,4,1
37,37,0
25,25,0
17,18,1
41,43,2
23,23,0
12,13,1
27,27,0
34,34,0
40,39,-1
5,6,1
7,9,2
9,10,1
19,19,0
0,1,1
1,1,0
1,3,2
2,3,1
31,30,-1
3,4,1
15,17,2
44,43,-1
10,10,0
27,25,-2
32,30,-2
35,34,-1
40,40,0
8,7,-1
13,13,0
5,6,1
1,2,1
2,3,1
4,4,0
0,0,0
16,17,1
23,22,-1
20,18,-2
1,1,0
29,27,-2
7,4,-3
34,31,-3
25,22,-3
43,42,-1
3,2,-1
21,18,-3
18,17,-1
11,10,-1
15,13,-2
1,0,-1
1,1,0
2,1,-1
9,7,-2
5,3,-2
13,13,0
4,3,-1
38,36,-2
2,1,-1
11,10,-1
17,17,0
26,22,-4
28,27,-1
3,2,-1
21,18,-3
35,31,-4
8,7,-1
1,0,-1
1,1,0
47,43,-4
6,4,-2
2,1,-1
40,43,3
4,3,-1
1,0,-1
6,4,-2
1,0,-1
37,36,-1
13,12,-1
8,7,-1
10,9,-1
47,43,-4
29,33,4
3,1,-2
25,22,-3
20,18,-2
17,15,-2
29,26,-3
1,1,0
12,12,0
26,26,0
35,36,1
31,31,0
18,18,0
9,9,0
22,22,0
15,15,0
2,1,-1
3,3,0
0,0,0
1,0,-1
5,4,-1
7,7,0
30,27,-3
23,19,-4
5,3,-2
17,12,-5
6,5,-1
12,9,-3
15,12,-3
10,9,-1
8,5,-3
38,30,-8
14,12,-2
6,4,-2
39,36,-3
27,22,-5
30,26,-4
11,9,-2
1,0,-1
9,6,-3
21,19,-2
1,0,-1
2,0,-2
3,1,-2
5,2,-3
46,39,-7
18,15,-3
27,22,-5
20,18,-2
5,4,-1
9,5,-4
12,9,-3
7,5,-2
10,9,-1
11,9,-2
20,15,-5
22,20,-2
9,7,-2
30,26,-4
5,2,-3
35,33,-2
6,4,-2
1,0,-1
2,1,-1
14,12,-2
18,15,-3
3,1,-2
26,22,-4
14,12,-2
42,39,-3
1,0,-1
45,43,-2
49,49,0
35,30,-5
11,9,-2
15,13,-2
5,4,-1
6,5,-1
12,12,0
7,5,-2
1,1,0
5,4,-1
3,2,-1
19,18,-1
28,26,-2
22,22,0
9,8,-1
2,1,-1
1,0,-1
45,41,-4
7,6,-1
0,0,0
37,36,-1
21,20,-1
12,11,-1
28,27,-1
36,33,-3
8,8,0
15,16,1
42,39,-3
34,31,-3
11,10,-1
17,15,-2
21,22,1
4,3,-1
26,27,1
14,12,-2
20,18,-2
6,4,-2
9,8,-1
8,5,-3
5,3,-2
43,39,-4
6,4,-2
14,13,-1
0,0,0
1,0,-1
2,0,-2
11,10,-1
0,0,0
4,2,-2
8,7,-1
36,36,0
18,17,-1
3,1,-2
26,26,0
32,31,-1
22,22,0
14,13,-1
17,18,1
20,20,0
12,12,0
40,39,-1
11,11,0
48,49,1
6,4,-2
14,16,2
3,1,-2
41,43,2
0,0,0
2,0,-2
1,0,-1
23,22,-1
8,7,-1
29,27,-2
32,33,1
4,3,-1
8,7,-1
7,5,-2
0,0,0
18,19,1
23,22,-1
5,4,-1
43,36,-7
30,31,1
10,9,-1
27,26,-1
24,23,-1
31,31,0
5,4,-1
7,5,-2
9,7,-2
3,3,0
49,49,0
10,9,-1
38,36,-2
0,0,0
40,39,-1
0,0,0
15,13,-2
4,2,-2
8,7,-1
6,4,-2
0,0,0
11,10,-1
32,36,4
19,19,0
42,43,1
28,26,-2
1,0,-1
23,22,-1
13,12,-1
15,13,-2
18,18,0
20,20,0
3,1,-2
2,0,-2
11,9,-2
10,7,-3
8,5,-3
31,27,-4
4,3,-1
34,31,-3
6,4,-2
26,27,1
19,18,-1
0,0,0
12,12,0
29,26,-3
35,36,1
43,36,-7
3,1,-2
7,6,-1
9,7,-2
17,16,-1
4,4,0
0,0,0
23,22,-1
17,15,-2
14,12,-2
43,39,-4
26,26,0
2,1,-1
1,0,-1
0,0,0
21,19,-2
4,3,-1
17,15,-2
20,19,-1
23,22,-1
44,42,-2
27,27,0
13,12,-1
35,36,1
21,19,-2
9,8,-1
2,2,0
1,1,0
0,0,0
0,0,0
0,0,0
6,6,0
1,0,-1
4,4,0
17,16,-1
6,4,-2
8,5,-3
10,8,-2
14,12,-2
30,31,1
26,26,0
0,0,0
35,35,0
12,9,-3
43,43,0
6,6,0
21,22,1
20,18,-2
27,27,0
4,4,0
16,15,-1
9,9,0
30,31,1
1,1,0
17,16,-1
21,22,1
0,0,0
0,0,0
0,0,0
0,0,0
2,1,-1
26,26,0
0,0,0
35,34,-1
36,36,0
14,12,-2
12,9,-3
9,8,-1
13,12,-1
6,4,-2
4,3,-1
8,5,-3
30,27,-3
26,22,-4
22,22,0
19,18,-1
47,46,-1
4,3,-1
38,36,-2
0,0,0
25,22,-3
1,1,0
0,0,0
13,12,-1
9,7,-2
0,0,0
0,0,0
0,0,0
21,19,-2
7,5,-2
11,9,-2
1,0,-1
16,15,-1
2,1,-1
12,11,-1
5,4,-1
3,3,0
41,36,-5
8,8,0
31,26,-5
16,15,-1
36,36,0
11,9,-2
13,12,-1
16,12,-4
9,5,-4
7,5,-2
31,31,0
2,1,-1
38,36,-2
22,19,-3
30,27,-3
48,43,-5
27,22,-5
3,1,-2
4,3,-1
19,15,-4
16,15,-1
44,43,-1
19,19,0
22,22,0
27,26,-1
11,9,-2
13,12,-1
31,29,-2
4,3,-1
3,2,-1
5,4,-1
7,5,-2
35,34,-1
2,1,-1
8,7,-1
33,31,-2
2,2,0
3,3,0
5,5,0
8,7,-1
12,12,0
4,3,-1
10,9,-1
43,39,-4
2,1,-1
15,15,0
22,22,0
18,18,0
25,26,1
17,16,-1
20,19,-1
2,2,0
3,3,0
24,22,-2
4,3,-1
5,4,-1
41,39,-2
14,13,-1
11,11,0
9,8,-1
7,6,-1
32,31,-1
32,31,-1
5,5,0
9,8,-1
24,22,-2
20,19,-1
40,39,-1
17,16,-1
14,13,-1
11,11,0
4,4,0
2,2,0
7,6,-1
3,3,0
14,11,-3
7,6,-1
9,8,-1
32,31,-1
11,10,-1
24,22,-2
40,39,-1
21,19,-2
5,4,-1
4,3,-1
2,1,-1
3,2,-1
17,16,-1
6,4,-2
8,6,-2
39,36,-3
19,16,-3
27,25,-2
2,1,-1
23,19,-4
11,8,-3
3,1,-2
4,2,-2
5,3,-2
16,13,-3
30,27,-3
13,10,-3
4,3,-1
20,19,-1
12,11,-1
41,43,2
32,33,1
18,16,-2
6,4,-2
24,22,-2
8,5,-3
15,13,-2
2,1,-1
3,2,-1
10,8,-2
22,22,0
34,36,2
2,1,-1
1,1,0
43,43,0
26,27,1
30,27,-3
15,13,-2
7,6,-1
18,16,-2
4,3,-1
3,2,-1
10,8,-2
12,11,-1
6,4,-2
1,0,-1
19,19,0
1,0,-1
2,1,-1
37,36,-1
3,2,-1
41,43,2
32,36,4
6,4,-2
24,23,-1
28,27,-1
13,13,0
10,10,0
4,3,-1
16,16,0
8,7,-1
43,41,-2
7,7,0
35,35,0
21,19,-2
27,27,0
11,9,-2
15,13,-2
5,4,-1
42,43,1
37,36,-1
6,3,-3
4,2,-2
20,19,-1
1,0,-1
10,7,-3
2,0,-2
24,22,-2
3,1,-2
1,0,-1
8,7,-1
16,16,0
13,12,-1
28,27,-1
32,33,1
23,22,-1
46,46,0
27,23,-4
18,15,-3
13,9,-4
6,4,-2
30,27,-3
9,7,-2
38,35,-3
4,1,-3
6,2,-4
31,27,-4
40,36,-4
16,12,-4
19,16,-3
3,0,-3
34,36,2
2,0,-2
26,23,-3
8,3,-5
23,19,-4
13,7,-6
1,0,-1
10,7,-3
27,27,0
34,35,1
43,41,-2
21,19,-2
25,22,-3
19,10,-9
49,49,0
11,9,-2
13,7,-6
8,5,-3
5,3,-2
16,13,-3
39,31,-8
4,1,-3
2,0,-2
5,2,-3
27,26,-1
45,43,-2
11,7,-4
3,0,-3
1,0,-1
8,4,-4
7,3,-4
23,22,-1
20,16,-4
16,13,-3
13,10,-3
35,36,1
10,8,-2
19,16,-3
46,49,3
14,12,-2
6,3,-3
25,22,-3
32,27,-5
6,4,-2
40,39,-1
24,27,3
33,31,-2
18,13,-5
5,2,-3
7,3,-4
31,36,5
41,39,-2
12,7,-5
3,0,-3
1,0,-1
15,10,-5
9,4,-5
29,26,-3
25,22,-3
4,1,-3
21,16,-5
2,0,-2
12,10,-2
37,39,2
20,18,-2
14,13,-1
29,27,-2
4,5,1
33,31,-2
17,13,-4
45,46,1
22,22,0
8,8,0
5,4,-1
8,7,-1
20,23,3
3,1,-2
1,0,-1
2,0,-2
1,0,-1
42,43,1
9,5,-4
17,16,-1
6,3,-3
5,2,-3
25,22,-3
29,26,-3
39,36,-3
14,10,-4
11,7,-4
21,19,-2
33,33,0
28,27,-1
2,3,1
8,8,0
7,8,1
6,5,-1
17,16,-1
12,13,1
11,12,1
23,22,-1
39,39,0
47,49,2
30,31,1
4,4,0
21,19,-2
0,0,0
0,0,0
36,36,0
0,0,0
1,0,-1
2,1,-1
18,19,1
7,7,0
41,43,2
0,0,0
22,22,0
26,26,0
10,10,0
14,13,-1
3,2,-1
5,4,-1
31,33,2
34,37,3
13,16,3
43,49,6
26,27,1
16,18,2
19,22,3
7,8,1
3,4,1
5,6,1
9,10,1
22,27,5
1,2,1
31,33,2
0,0,0
0,0,0
0,0,0
37,36,-1
0,0,0
0,1,1
27,29,2
10,11,1
2,3,1
4,5,1
22,22,0
18,19,1
13,15,2
41,43,2
7,7,0
19,22,3
24,25,1
6,8,2
13,16,3
16,16,0
10,11,1
8,8,0
34,33,-1
2,4,2
26,27,1
43,49,6
5,6,1
2,2,0
0,0,0
0,0,0
0,0,0
3,4,1
1,1,0
0,0,0
0,0,0
6,7,1
27,26,-1
22,22,0
4,4,0
13,11,-2
41,39,-2
37,36,-1
31,33,2
10,8,-2
18,17,-1
15,16,1
18,20,2
22,22,0
42,46,4
10,12,2
33,33,0
6,7,1
2,4,2
25,27,2
13,13,0
12,12,0
0,0,0
0,1,1
0,0,0
3,4,1
0,0,0
8,8,0
4,5,1
0,0,0
0,0,0
30,33,3
1,2,1
26,26,0
21,22,1
3,3,0
17,16,-1
40,39,-1
36,36,0
9,7,-2
5,7,2
14,16,2
21,22,1
23,27,4
12,13,1
9,11,2
37,37,0
7,8,1
29,27,-2
3,4,1
45,49,4
34,36,2
40,36,-4
5,7,2
0,0,0
4,5,1
0,0,0
1,3,2
17,18,1
0,1,1
0,0,0
0,0,0
7,7,0
1,2,1
0,0,0
11,11,0
4,5,1
30,29,-1
24,22,-2
20,18,-2
15,14,-1
2,3,1
2,3,1
23,25,2
38,39,1
19,22,3
30,33,3
27,27,0
13,16,3
5,5,0
10,11,1
8,10,2
2,3,1
1,3,2
6,7,1
3,4,1
16,18,2
20,22,2
20,25,5
7,8,1
17,18,1
11,11,0
38,43,5
45,49,4
28,27,-1
35,33,-2
36,37,1
9,11,2
4,4,0
3,3,0
2,3,1
1,2,1
5,6,1
14,16,2
6,7,1
8,7,-1
22,23,1
19,18,-1
10,11,1
43,43,0
26,27,1
35,31,-4
34,34,0
40,39,-1
15,16,1
13,14,1
3,3,0
2,3,1
1,2,1
4,4,0
5,6,1
15,16,1
7,8,1
0,1,1
21,22,1
29,27,-2
37,39,2
1,2,1
1,3,2
3,5,2
2,4,2
12,11,-1
25,25,0
18,18,0
32,34,2
9,11,2
32,27,-5
1,1,0
32,25,-7
14,11,-3
1,1,0
5,4,-1
7,5,-2
3,3,0
17,14,-3
9,7,-2
11,11,0
20,17,-3
41,39,-2
36,34,-2
2,2,0
24,23,-1
2,2,0
1,1,0
1,1,0
30,30,0
3,3,0
16,14,-2
33,34,1
6,5,-1
4,3,-1
22,23,1
25,25,0
8,7,-1
10,11,1
13,11,-2
39,39,0
19,17,-2
5,5,0
28,25,-3
1,1,0
3,3,0
2,2,0
12,11,-1
1,1,0
15,14,-1
30,30,0
18,18,0
22,22,0
7,7,0
4,4,0
10,11,1
38,39,1
2,3,1
1,2,1
1,1,0
33,30,-3
3,4,1
5,5,0
0,1,1
9,11,2
12,11,-1
21,22,1
25,25,0
15,14,-1
43,43,0
38,39,1
34,34,0
7,7,0
18,17,-1
0,1,1
1,3,2
2,4,2
8,11,3
4,5,1
6,7,1
17,17,0
24,25,1
37,39,2
29,30,1
32,34,2
11,11,0
14,14,0
1,2,1
21,22,1
0,1,1
43,43,0
34,34,0
49,49,0
41,39,-2
21,22,1
16,15,-1
7,8,1
